policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
4328,LV,Passenger car,Regular,77,2250,Bruna,2013,1,VOLKSWAGEN,TOURAN,Diesel,1,0,140,40,424,22400,1,2014
4329,LV,Passenger car,Regular,77,2250,Bruna,2013,0,VOLKSWAGEN,TOURAN,Diesel,0,0,140,40,433.4,28500,1,2013
4330,LV,Passenger car,Regular,77,2250,Gaiši bruna,2013,1,VOLKSWAGEN,TOURAN,Diesel,1,1,140,40,468,22800,1,2014
4331,LV,Passenger car,Regular,77,2250,Gaiši bruna,2013,0,VOLKSWAGEN,TOURAN,Diesel,0,1,142.29,42.69,499.4,23990,0.98630137,2013
4332,LV,Passenger car,Regular,80,1660,Gaiši bruna,2005,9,CHEVROLET,LACETTI,Benzine,1,0,140,70,233.4,3330,1,2014
4333,LV,Passenger car,Regular,80,1660,Gaiši bruna,2005,8,CHEVROLET,LACETTI,Benzine,1,1,142.29,71.14,238,3510,1,2013
4334,LV,Passenger car,Regular,80,1675,Peleka tonmainas,2007,5,CHEVROLET,LACETTI,Benzine,1,1,140,70,358.7,5200,1,2012
4335,LV,Passenger car,Regular,81,1580,Tumši peleka,2006,6,NISSAN,NOTE,Benzine,0,1,140,70,66.2,8200,0.317808219,2012
4336,LV,Passenger car,Regular,81,1580,Bruna,2009,5,NISSAN,NOTE,Benzine,1,0,140,70,134,4600,0.712328767,2014
4337,LV,Passenger car,Regular,81,1580,Melna,2013,1,NISSAN,NOTE,Benzine,0,0,140,70,376,12200,1,2014
4338,LV,Passenger car,Regular,81,1655,Gaiši peleka,2006,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,1.3,8170,0.063013699,2012
4339,LV,Passenger car,Regular,81,1655,Gaiši peleka,2006,8,TOYOTA,COROLLA,Benzine,1,0,140,70,264,6410,1,2014
4340,LV,Passenger car,Regular,85,1905,Gaiši peleka,2011,3,OPEL,ASTRA,Benzine,1,1,140,70,214.3,11000,0.852054795,2014
4341,LV,Passenger car,Regular,77,1892,Tumši bruna,2014,0,SKODA,OCTAVIA,Diesel,0,0,140,70,198,19600,0.504109589,2014
4342,LV,Passenger car,Regular,77,1897,Gaiši bruna,2014,0,SKODA,OCTAVIA,Diesel,0,1,140,70,190,21720,0.504109589,2014
4343,LV,Passenger car,Regular,77,1897,Gaiši peleka,2014,0,SKODA,OCTAVIA,Diesel,0,0,140,70,182,19900,0.504109589,2014
4344,LV,Passenger car,Regular,77,1897,Tumši bruna,2014,0,SKODA,OCTAVIA,Diesel,0,1,140,70,157.9,20000,0.495890411,2014
4345,LV,Passenger car,Regular,77,1907,Sarkana,2014,0,SKODA,OCTAVIA,Diesel,1,1,140,70,395,22000,0.717808219,2014
4346,LV,Passenger car,Regular,77,1907,Sarkana,2014,0,SKODA,OCTAVIA,Diesel,0,1,140,70,189.9,22400,0.495890411,2014
4347,LV,Passenger car,Regular,77,1910,Gaiši peleka,2011,3,VOLKSWAGEN,JETTA,Diesel,1,0,140,40,170.9,11110,1,2014
